Question_ID,Category,Question,Answer
1,Getting Started,"How do I install the product?","Install via pip: `pip install myproduct`. Requires Python 3.9+. See the installation guide in the docs for platform-specific instructions."
2,Getting Started,"What are the system requirements?","Python 3.9 or higher, 4 GB RAM minimum (8 GB recommended). Works on Linux, macOS, and Windows."
3,Getting Started,"How do I run the product for the first time?","After installation, run `myproduct init` to initialize your configuration, then `myproduct start` to launch the service."
4,Configuration,"How do I change the default port?","Set the `PORT` environment variable before starting, or add `port: <number>` to your `config.yaml` file."
5,Configuration,"Where is the configuration file located?","By default at `~/.myproduct/config.yaml`. You can override this with the `--config` flag or the `MYPRODUCT_CONFIG` environment variable."
6,Configuration,"How do I enable debug logging?","Set `LOG_LEVEL=debug` in your environment, or add `log_level: debug` to your config file."
7,Authentication,"How do I create an API key?","Navigate to Settings > API Keys in the dashboard and click 'Create Key'. Give it a name and select the permissions it needs."
8,Authentication,"How long do API keys last?","API keys do not expire by default. You can set an expiration date when creating the key, or rotate keys manually from the dashboard."
9,Authentication,"Can I use OAuth for authentication?","Yes. OAuth 2.0 is supported. Configure your OAuth provider in Settings > Authentication and follow the OAuth setup guide."
10,Integrations,"Does the product support webhooks?","Yes. Configure webhooks in Settings > Webhooks. You can subscribe to specific event types and provide an HTTPS endpoint to receive payloads."
11,Integrations,"What data formats are supported for import?","CSV, JSON, and JSONL are supported for bulk import. Use the `/api/import` endpoint or the dashboard import wizard."
12,Troubleshooting,"Why am I getting a connection refused error?","The service is likely not running. Check with `myproduct status`. If it's stopped, start it with `myproduct start`. Also verify the port is not blocked by a firewall."
13,Troubleshooting,"How do I reset my configuration to defaults?","Run `myproduct reset-config` or delete the config file at `~/.myproduct/config.yaml` and restart. A fresh default config will be generated."
14,Troubleshooting,"How do I view logs?","Logs are written to `~/.myproduct/logs/`. Use `myproduct logs --tail` to stream live logs, or open the log files directly."
15,Performance,"How do I improve query performance?","Enable caching in config (`cache: true`), increase the connection pool size (`pool_size: 20`), and ensure your data is indexed. See the performance tuning guide."
